grant_name,state,amount,industry,slug,deadline,description
North Carolina Growth Grant for Minorities,North Carolina,"$10,000",General,north-carolina-growth-grant-for-minorities,December 2026,"Funding is the lifeblood of innovation, and the North Carolina Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the North Carolina Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the North Carolina Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the North Carolina Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. "
Ohio Growth Grant for Minorities,Ohio,"$10,000",General,ohio-growth-grant-for-minorities,December 2026,"Funding is the lifeblood of innovation, and the Ohio Growth Grant for Minorities provides exactly that for General companies. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Ohio. Our directory provides the roadmap to securing the Ohio Growth Grant for Minorities, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Ohio Growth Grant for Minorities provides exactly that for General companies. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Ohio. Our directory provides the roadmap to securing the Ohio Growth Grant for Minorities, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Ohio Growth Grant for Minorities provides exactly that for General companies. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Ohio. Our directory provides the roadmap to securing the Ohio Growth Grant for Minorities, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Ohio Growth Grant for Minorities provides exactly that for General companies. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Ohio. Our directory provides the roadmap to securing the Ohio Growth Grant for Minorities, helping you navigate the complex US grant landscape. "
Pennsylvania Veteran Business Support Grant,Pennsylvania,"$5,000",Varies,pennsylvania-veteran-business-support-grant,December 2026,Small business owners in Pennsylvania can now access the Pennsylvania Veteran Business Support Grant to scale their operations. Applying for the Pennsylvania Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Pennsylvania-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in Pennsylvania can now access the Pennsylvania Veteran Business Support Grant to scale their operations. Applying for the Pennsylvania Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Pennsylvania-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in Pennsylvania can now access the Pennsylvania Veteran Business Support Grant to scale their operations. Applying for the Pennsylvania Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Pennsylvania-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in Pennsylvania can now access the Pennsylvania Veteran Business Support Grant to scale their operations. Applying for the Pennsylvania Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Pennsylvania-exclusive funding opportunity. Ensure your documentation is ready before submitting. 
California Veteran Business Support Grant,California,"$5,000",Varies,california-veteran-business-support-grant,December 2026,The California Veteran Business Support Grant represents a significant opportunity for entrepreneurs in California. Applying for the California Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this California-exclusive funding opportunity. Ensure your documentation is ready before submitting. The California Veteran Business Support Grant represents a significant opportunity for entrepreneurs in California. Applying for the California Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this California-exclusive funding opportunity. Ensure your documentation is ready before submitting. The California Veteran Business Support Grant represents a significant opportunity for entrepreneurs in California. Applying for the California Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this California-exclusive funding opportunity. Ensure your documentation is ready before submitting. The California Veteran Business Support Grant represents a significant opportunity for entrepreneurs in California. Applying for the California Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this California-exclusive funding opportunity. Ensure your documentation is ready before submitting. 
Ohio Growth Grant for Minorities,Ohio,"$10,000",General,ohio-growth-grant-for-minorities,December 2026,"Small business owners in Ohio can now access the Ohio Growth Grant for Minorities to scale their operations. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the Ohio Growth Grant for Minorities, helping you navigate the complex US grant landscape. Small business owners in Ohio can now access the Ohio Growth Grant for Minorities to scale their operations. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the Ohio Growth Grant for Minorities, helping you navigate the complex US grant landscape. Small business owners in Ohio can now access the Ohio Growth Grant for Minorities to scale their operations. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the Ohio Growth Grant for Minorities, helping you navigate the complex US grant landscape. Small business owners in Ohio can now access the Ohio Growth Grant for Minorities to scale their operations. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the Ohio Growth Grant for Minorities, helping you navigate the complex US grant landscape. "
Michigan Women-Owned Startup Fund,Michigan,"$25,000",Retail/Service,michigan-women-owned-startup-fund,December 2026,"The Michigan Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Michigan. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Michigan. Don't miss the deadline for this Michigan-exclusive funding opportunity. Ensure your documentation is ready before submitting. The Michigan Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Michigan. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Michigan. Don't miss the deadline for this Michigan-exclusive funding opportunity. Ensure your documentation is ready before submitting. The Michigan Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Michigan. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Michigan. Don't miss the deadline for this Michigan-exclusive funding opportunity. Ensure your documentation is ready before submitting. The Michigan Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Michigan. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Michigan. Don't miss the deadline for this Michigan-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
Ohio Women-Owned Startup Fund,Ohio,"$25,000",Retail/Service,ohio-women-owned-startup-fund,December 2026,"The Ohio Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Ohio. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Ohio-exclusive funding opportunity. Ensure your documentation is ready before submitting. The Ohio Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Ohio. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Ohio-exclusive funding opportunity. Ensure your documentation is ready before submitting. The Ohio Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Ohio. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Ohio-exclusive funding opportunity. Ensure your documentation is ready before submitting. The Ohio Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Ohio. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Ohio-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
Ohio Growth Grant for Minorities,Ohio,"$10,000",General,ohio-growth-grant-for-minorities,December 2026,"The Ohio Growth Grant for Minorities represents a significant opportunity for entrepreneurs in Ohio. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. The Ohio Growth Grant for Minorities represents a significant opportunity for entrepreneurs in Ohio. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. The Ohio Growth Grant for Minorities represents a significant opportunity for entrepreneurs in Ohio. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. The Ohio Growth Grant for Minorities represents a significant opportunity for entrepreneurs in Ohio. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. "
North Carolina Growth Grant for Minorities,North Carolina,"$10,000",General,north-carolina-growth-grant-for-minorities,December 2026,"The North Carolina Growth Grant for Minorities represents a significant opportunity for entrepreneurs in North Carolina. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in North Carolina. Our directory provides the roadmap to securing the North Carolina Growth Grant for Minorities, helping you navigate the complex US grant landscape. The North Carolina Growth Grant for Minorities represents a significant opportunity for entrepreneurs in North Carolina. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in North Carolina. Our directory provides the roadmap to securing the North Carolina Growth Grant for Minorities, helping you navigate the complex US grant landscape. The North Carolina Growth Grant for Minorities represents a significant opportunity for entrepreneurs in North Carolina. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in North Carolina. Our directory provides the roadmap to securing the North Carolina Growth Grant for Minorities, helping you navigate the complex US grant landscape. The North Carolina Growth Grant for Minorities represents a significant opportunity for entrepreneurs in North Carolina. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in North Carolina. Our directory provides the roadmap to securing the North Carolina Growth Grant for Minorities, helping you navigate the complex US grant landscape. "
North Carolina Growth Grant for Minorities,North Carolina,"$10,000",General,north-carolina-growth-grant-for-minorities,December 2026,"Small business owners in North Carolina can now access the North Carolina Growth Grant for Minorities to scale their operations. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Small business owners in North Carolina can now access the North Carolina Growth Grant for Minorities to scale their operations. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Small business owners in North Carolina can now access the North Carolina Growth Grant for Minorities to scale their operations. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Small business owners in North Carolina can now access the North Carolina Growth Grant for Minorities to scale their operations. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. "
New York Innovation Research Grant (SBIR),New York,"$150,000",Technology,new-york-innovation-research-grant-sbir,December 2026,The New York Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in New York. Applying for the New York Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this New York-exclusive funding opportunity. Ensure your documentation is ready before submitting. The New York Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in New York. Applying for the New York Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this New York-exclusive funding opportunity. Ensure your documentation is ready before submitting. The New York Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in New York. Applying for the New York Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this New York-exclusive funding opportunity. Ensure your documentation is ready before submitting. The New York Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in New York. Applying for the New York Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this New York-exclusive funding opportunity. Ensure your documentation is ready before submitting. 
New York Growth Grant for Minorities,New York,"$10,000",General,new-york-growth-grant-for-minorities,December 2026,"Small business owners in New York can now access the New York Growth Grant for Minorities to scale their operations. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in New York. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Small business owners in New York can now access the New York Growth Grant for Minorities to scale their operations. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in New York. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Small business owners in New York can now access the New York Growth Grant for Minorities to scale their operations. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in New York. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Small business owners in New York can now access the New York Growth Grant for Minorities to scale their operations. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in New York. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. "
Illinois Green Energy Expansion Grant,Illinois,"$50,000",Sustainability,illinois-green-energy-expansion-grant,December 2026,"Funding is the lifeblood of innovation, and the Illinois Green Energy Expansion Grant provides exactly that for Sustainability companies. With a total award of $50,000, this program is designed to offset the rising costs of labor and technology in Illinois. Our directory provides the roadmap to securing the Illinois Green Energy Expansion Grant, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Illinois Green Energy Expansion Grant provides exactly that for Sustainability companies. With a total award of $50,000, this program is designed to offset the rising costs of labor and technology in Illinois. Our directory provides the roadmap to securing the Illinois Green Energy Expansion Grant, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Illinois Green Energy Expansion Grant provides exactly that for Sustainability companies. With a total award of $50,000, this program is designed to offset the rising costs of labor and technology in Illinois. Our directory provides the roadmap to securing the Illinois Green Energy Expansion Grant, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Illinois Green Energy Expansion Grant provides exactly that for Sustainability companies. With a total award of $50,000, this program is designed to offset the rising costs of labor and technology in Illinois. Our directory provides the roadmap to securing the Illinois Green Energy Expansion Grant, helping you navigate the complex US grant landscape. "
Michigan Growth Grant for Minorities,Michigan,"$10,000",General,michigan-growth-grant-for-minorities,December 2026,"The Michigan Growth Grant for Minorities represents a significant opportunity for entrepreneurs in Michigan. Applying for the Michigan Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. The Michigan Growth Grant for Minorities represents a significant opportunity for entrepreneurs in Michigan. Applying for the Michigan Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. The Michigan Growth Grant for Minorities represents a significant opportunity for entrepreneurs in Michigan. Applying for the Michigan Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. The Michigan Growth Grant for Minorities represents a significant opportunity for entrepreneurs in Michigan. Applying for the Michigan Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. "
Illinois Women-Owned Startup Fund,Illinois,"$25,000",Retail/Service,illinois-women-owned-startup-fund,December 2026,"Funding is the lifeblood of innovation, and the Illinois Women-Owned Startup Fund provides exactly that for Retail/Service companies. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Illinois. Don't miss the deadline for this Illinois-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Illinois Women-Owned Startup Fund provides exactly that for Retail/Service companies. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Illinois. Don't miss the deadline for this Illinois-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Illinois Women-Owned Startup Fund provides exactly that for Retail/Service companies. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Illinois. Don't miss the deadline for this Illinois-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Illinois Women-Owned Startup Fund provides exactly that for Retail/Service companies. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Illinois. Don't miss the deadline for this Illinois-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
North Carolina Green Energy Expansion Grant,North Carolina,"$50,000",Sustainability,north-carolina-green-energy-expansion-grant,December 2026,"Small business owners in North Carolina can now access the North Carolina Green Energy Expansion Grant to scale their operations. With a total award of $50,000, this program is designed to offset the rising costs of labor and technology in North Carolina. Don't miss the deadline for this North Carolina-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in North Carolina can now access the North Carolina Green Energy Expansion Grant to scale their operations. With a total award of $50,000, this program is designed to offset the rising costs of labor and technology in North Carolina. Don't miss the deadline for this North Carolina-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in North Carolina can now access the North Carolina Green Energy Expansion Grant to scale their operations. With a total award of $50,000, this program is designed to offset the rising costs of labor and technology in North Carolina. Don't miss the deadline for this North Carolina-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in North Carolina can now access the North Carolina Green Energy Expansion Grant to scale their operations. With a total award of $50,000, this program is designed to offset the rising costs of labor and technology in North Carolina. Don't miss the deadline for this North Carolina-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
Georgia Veteran Business Support Grant,Georgia,"$5,000",Varies,georgia-veteran-business-support-grant,December 2026,"Small business owners in Georgia can now access the Georgia Veteran Business Support Grant to scale their operations. With a total award of $5,000, this program is designed to offset the rising costs of labor and technology in Georgia. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. Small business owners in Georgia can now access the Georgia Veteran Business Support Grant to scale their operations. With a total award of $5,000, this program is designed to offset the rising costs of labor and technology in Georgia. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. Small business owners in Georgia can now access the Georgia Veteran Business Support Grant to scale their operations. With a total award of $5,000, this program is designed to offset the rising costs of labor and technology in Georgia. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. Small business owners in Georgia can now access the Georgia Veteran Business Support Grant to scale their operations. With a total award of $5,000, this program is designed to offset the rising costs of labor and technology in Georgia. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. "
North Carolina Women-Owned Startup Fund,North Carolina,"$25,000",Retail/Service,north-carolina-women-owned-startup-fund,December 2026,"Funding is the lifeblood of innovation, and the North Carolina Women-Owned Startup Fund provides exactly that for Retail/Service companies. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the North Carolina Women-Owned Startup Fund, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the North Carolina Women-Owned Startup Fund provides exactly that for Retail/Service companies. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the North Carolina Women-Owned Startup Fund, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the North Carolina Women-Owned Startup Fund provides exactly that for Retail/Service companies. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the North Carolina Women-Owned Startup Fund, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the North Carolina Women-Owned Startup Fund provides exactly that for Retail/Service companies. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the North Carolina Women-Owned Startup Fund, helping you navigate the complex US grant landscape. "
Pennsylvania Innovation Research Grant (SBIR),Pennsylvania,"$150,000",Technology,pennsylvania-innovation-research-grant-sbir,December 2026,"Funding is the lifeblood of innovation, and the Pennsylvania Innovation Research Grant (SBIR) provides exactly that for Technology companies. With a total award of $150,000, this program is designed to offset the rising costs of labor and technology in Pennsylvania. Our directory provides the roadmap to securing the Pennsylvania Innovation Research Grant (SBIR), helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Pennsylvania Innovation Research Grant (SBIR) provides exactly that for Technology companies. With a total award of $150,000, this program is designed to offset the rising costs of labor and technology in Pennsylvania. Our directory provides the roadmap to securing the Pennsylvania Innovation Research Grant (SBIR), helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Pennsylvania Innovation Research Grant (SBIR) provides exactly that for Technology companies. With a total award of $150,000, this program is designed to offset the rising costs of labor and technology in Pennsylvania. Our directory provides the roadmap to securing the Pennsylvania Innovation Research Grant (SBIR), helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Pennsylvania Innovation Research Grant (SBIR) provides exactly that for Technology companies. With a total award of $150,000, this program is designed to offset the rising costs of labor and technology in Pennsylvania. Our directory provides the roadmap to securing the Pennsylvania Innovation Research Grant (SBIR), helping you navigate the complex US grant landscape. "
Ohio Green Energy Expansion Grant,Ohio,"$50,000",Sustainability,ohio-green-energy-expansion-grant,December 2026,"Funding is the lifeblood of innovation, and the Ohio Green Energy Expansion Grant provides exactly that for Sustainability companies. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Ohio-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Ohio Green Energy Expansion Grant provides exactly that for Sustainability companies. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Ohio-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Ohio Green Energy Expansion Grant provides exactly that for Sustainability companies. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Ohio-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Ohio Green Energy Expansion Grant provides exactly that for Sustainability companies. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Ohio-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
Illinois Women-Owned Startup Fund,Illinois,"$25,000",Retail/Service,illinois-women-owned-startup-fund,December 2026,"Small business owners in Illinois can now access the Illinois Women-Owned Startup Fund to scale their operations. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Illinois. Don't miss the deadline for this Illinois-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in Illinois can now access the Illinois Women-Owned Startup Fund to scale their operations. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Illinois. Don't miss the deadline for this Illinois-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in Illinois can now access the Illinois Women-Owned Startup Fund to scale their operations. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Illinois. Don't miss the deadline for this Illinois-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in Illinois can now access the Illinois Women-Owned Startup Fund to scale their operations. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Illinois. Don't miss the deadline for this Illinois-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
Illinois Women-Owned Startup Fund,Illinois,"$25,000",Retail/Service,illinois-women-owned-startup-fund,December 2026,"Funding is the lifeblood of innovation, and the Illinois Women-Owned Startup Fund provides exactly that for Retail/Service companies. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Illinois. Don't miss the deadline for this Illinois-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Illinois Women-Owned Startup Fund provides exactly that for Retail/Service companies. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Illinois. Don't miss the deadline for this Illinois-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Illinois Women-Owned Startup Fund provides exactly that for Retail/Service companies. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Illinois. Don't miss the deadline for this Illinois-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Illinois Women-Owned Startup Fund provides exactly that for Retail/Service companies. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Illinois. Don't miss the deadline for this Illinois-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
Georgia Growth Grant for Minorities,Georgia,"$10,000",General,georgia-growth-grant-for-minorities,December 2026,"Small business owners in Georgia can now access the Georgia Growth Grant for Minorities to scale their operations. Applying for the Georgia Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Small business owners in Georgia can now access the Georgia Growth Grant for Minorities to scale their operations. Applying for the Georgia Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Small business owners in Georgia can now access the Georgia Growth Grant for Minorities to scale their operations. Applying for the Georgia Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Small business owners in Georgia can now access the Georgia Growth Grant for Minorities to scale their operations. Applying for the Georgia Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. "
California Growth Grant for Minorities,California,"$10,000",General,california-growth-grant-for-minorities,December 2026,The California Growth Grant for Minorities represents a significant opportunity for entrepreneurs in California. Applying for the California Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this California-exclusive funding opportunity. Ensure your documentation is ready before submitting. The California Growth Grant for Minorities represents a significant opportunity for entrepreneurs in California. Applying for the California Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this California-exclusive funding opportunity. Ensure your documentation is ready before submitting. The California Growth Grant for Minorities represents a significant opportunity for entrepreneurs in California. Applying for the California Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this California-exclusive funding opportunity. Ensure your documentation is ready before submitting. The California Growth Grant for Minorities represents a significant opportunity for entrepreneurs in California. Applying for the California Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this California-exclusive funding opportunity. Ensure your documentation is ready before submitting. 
Illinois Veteran Business Support Grant,Illinois,"$5,000",Varies,illinois-veteran-business-support-grant,December 2026,"Small business owners in Illinois can now access the Illinois Veteran Business Support Grant to scale their operations. With a total award of $5,000, this program is designed to offset the rising costs of labor and technology in Illinois. Our directory provides the roadmap to securing the Illinois Veteran Business Support Grant, helping you navigate the complex US grant landscape. Small business owners in Illinois can now access the Illinois Veteran Business Support Grant to scale their operations. With a total award of $5,000, this program is designed to offset the rising costs of labor and technology in Illinois. Our directory provides the roadmap to securing the Illinois Veteran Business Support Grant, helping you navigate the complex US grant landscape. Small business owners in Illinois can now access the Illinois Veteran Business Support Grant to scale their operations. With a total award of $5,000, this program is designed to offset the rising costs of labor and technology in Illinois. Our directory provides the roadmap to securing the Illinois Veteran Business Support Grant, helping you navigate the complex US grant landscape. Small business owners in Illinois can now access the Illinois Veteran Business Support Grant to scale their operations. With a total award of $5,000, this program is designed to offset the rising costs of labor and technology in Illinois. Our directory provides the roadmap to securing the Illinois Veteran Business Support Grant, helping you navigate the complex US grant landscape. "
